Title;Price;;;
ВАЗ (Lada) 2107;300 000 ₸;;;
Nissan Primera;300 003 ₸;;;
BMW 318;303 030 ₸;;;
Toyota Carina E;306 336 ₸;;;
Mazda 626;310 000 ₸;;;
Opel Vectra;318 000 ₸;;;
ВАЗ (Lada) 2109 (хэтчбек);320 000 ₸;;;
ВАЗ (Lada) Kalina 1118 (седан);321 321 ₸;;;
ВАЗ (Lada) 2115 (седан);323 000 ₸;;;
ВАЗ (Lada) 2115 (седан);325 000 ₸;;;
ВАЗ (Lada) 2110 (седан);330 000 ₸;;;
Opel Vectra;333 222 ₸;;;
ВАЗ (Lada) 2110 (седан);333 333 ₸;;;
Mazda 121;333 444 ₸;;;
ВАЗ (Lada) 2109 (хэтчбек);333 500 ₸;;;
ВАЗ (Lada) 2110 (седан);340 000 ₸;;;
ВАЗ (Lada) 21099 (седан);345 000 ₸;;;
ВАЗ (Lada) 2106;349 999 ₸;;;
ВАЗ (Lada) 2110 (седан);350 000 ₸;;;
Chevrolet Lanos;350 555 ₸;;;
Lifan Breez;355 088 ₸;;;
ВАЗ (Lada) 2107;360 000 ₸;;;
ВАЗ (Lada) 21099 (седан);370 000 ₸;;;
ВАЗ (Lada) 2104;380 000 ₸;;;
ВАЗ (Lada) 2107;385 000 ₸;;;
Mitsubishi Space Wagon;385 333 ₸;;;
Nissan Bluebird;389 064 ₸;;;
Mazda 626;390 000 ₸;;;
Mercedes-Benz E 230;392 000 ₸;;;
Daewoo Nexia;395 000 ₸;;;
ВАЗ (Lada) 21099 (седан);399 000 ₸;;;
ВАЗ (Lada) 21099 (седан);399 990 ₸;;;
Mitsubishi Galant;399 999 ₸;;;
Mazda Xedos 9;400 000 ₸;;;
Nissan Primera;400 004 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);400 421 ₸;;;
Nissan X-Trail;400 500 ₸;;;
Nissan Bluebird;401 000 ₸;;;
ВАЗ (Lada) 2106;409 000 ₸;;;
ВАЗ (Lada) 2115 (седан);410 000 ₸;;;
Geely MK;412 345 ₸;;;
Audi 100;416 000 ₸;;;
ВАЗ (Lada) 2110 (седан);420 000 ₸;;;
ВАЗ (Lada) 2105;425 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);430 000 ₸;;;
ВАЗ (Lada) 2109 (хэтчбек);432 000 ₸;;;
Opel Vectra;432 234 ₸;;;
ВАЗ (Lada) 2107;437 142 ₸;;;
Daewoo Leganza;440 000 ₸;;;
ИЖ 2126 (Ода);444 000 ₸;;;
Toyota Camry;444 400 ₸;;;
Volkswagen Jetta;444 477 ₸;;;
Mazda 323;450 000 ₸;;;
ВАЗ (Lada) 2107;450 000 ₸;;;
ЗАЗ Sens;454 000 ₸;;;
